id,price,developer
761140.0,4.99,Kotoshiro
643980.0,0.0,Secret Level SRL
670290.0,0.0,Poolians.com
767400.0,0.99,彼岸领域
773570.0,2.99,
772540.0,3.99,Trickjump Games Ltd
774276.0,9.99,Poppermost Productions
774277.0,18.99,Poppermost Productions
774278.0,29.99,Poppermost Productions
768800.0,,RewindApp
768570.0,,Qucheza
724910.0,0.0,
770380.0,10.99,Stegalosaurus Game Development
768880.0,3.99,Copperpick Studio
765320.0,2.99,Ghulam Jewel
773650.0,1.59,Apillo
774271.0,14.99,Poppermost Productions
773690.0,1.99,Apillo
774279.0,59.99,Poppermost Productions
772590.0,4.99,
640250.0,2.99,
768060.0,0.99,Tero Lunkka
711440.0,0.99,
775880.0,2.99,FrozenPepper
775881.0,2.99,FrozenPepper
653960.0,4.99,Casey Labrack
777910.0,4.99,
282010.0,9.99,Stainless Games Ltd
70.0,9.99,Valve
752360.0,1.99,dev4play
594200.0,3.99,
520680.0,,BlueLine Games
690410.0,,Games by Brundle
766850.0,0.99,ETGgames
413120.0,,ProjectorGames
773120.0,,Unknown Indie Devs
680970.0,,
754360.0,8.99,The Commander
716110.0,0.99,"lalalaZero,Urbanoff"
1640.0,6.99,Strategy First
1630.0,6.99,Strategy First
2400.0,9.99,Outerlight Ltd.
662570.0,,Zachary M Thomas
381620.0,,Breakout Studio
714020.0,,"zha7,Phaedruns,Yingke Wu"
541930.0,,
759920.0,7.99,Ultraint
659780.0,,Seth Albertus
603280.0,10.99,TPM.CO SOFT WORKS
753110.0,9.99,Wonderbox Games
753100.0,9.99,Wonderbox Games
769350.0,29.99,
764280.0,1.99,Mad Unicorn Games
374970.0,,
758550.0,0.99,Emanon Studios
3800.0,9.99,GlyphX Games
1520.0,9.99,Introversion Software
2420.0,9.99,Outerlight Ltd.
4000.0,9.99,Facepunch Studios
4230.0,39.99,SimBin
4900.0,0.0,Unknown Worlds Entertainment
2520.0,4.99,"CINEMAX, s.r.o."
6200.0,4.99,Sick Puppies
6210.0,4.99,Deepred
6300.0,19.99,Funcom
2990.0,9.99,Bugbear Entertainment
6220.0,7.49,Bugbear Entertainment
6510.0,14.99,"CAPCOM Co., Ltd."
3980.0,9.99,"FireFly Studios,Firaxis Games"
1700.0,4.99,Arkane Studios
6310.0,9.99,Funcom
3990.0,4.99,Firaxis Games
7610.0,9.99,PopTop
7600.0,9.99,"Firaxis Games,Feral Interactive (Mac)"
7620.0,4.99,PopTop
2540.0,4.99,Elephant Games
7650.0,4.99,"MicroProse Software, Inc"
8000.0,8.99,"Crystal Dynamics,Feral Interactive (Mac)"
6550.0,19.99,"CAPCOM Co., Ltd."
8200.0,19.99,Telltale Games
