posted,recommend
"['2011-11-05', '2011-07-15', '2011-04-21']","[True, True, True]"
"['2014-06-24', '2013-09-08', '2013-11-29']","[True, True, True]"
"['1900-02-03', '2015-12-04', '2014-11-03', '2014-10-15', '2014-10-15', '2014-10-15']","[True, True, True, True, True, True]"
"['2013-10-14', '2012-07-28', '2012-06-02', '2014-06-29', '2012-11-22', '2012-02-23']","[True, True, True, True, True, True]"
"['2014-04-15', '2013-12-23', '2014-03-14', '2013-07-11']","[True, True, True, True]"
"['2014-05-05', '2012-12-24', '2012-10-21', '2012-03-20', '2012-03-09']","[True, True, True, True, True]"
['1900-05-20'],[True]
['1900-07-24'],[True]
"['2015-02-01', '2014-06-20']","[True, True]"
['1900-06-16'],[True]
"['1900-06-11', '2014-08-25']","[True, True]"
['2013-12-25'],[True]
['2012-06-23'],[True]
"['2015-09-05', '2015-03-30', '2014-02-19']","[True, True, True]"
"['2014-07-14', '2013-04-27', '2015-07-20', '2013-11-04', '2013-07-12', '2012-08-19']","[True, True, True, True, True, True]"
"['2015-06-19', '2014-09-20', '2014-09-07']","[True, True, True]"
['2014-12-19'],[False]
['2015-02-17'],[True]
['2014-06-07'],[True]
"['2014-02-12', '2014-02-09', '2015-10-31']","[True, True, True]"
['1900-02-27'],[True]
"['2015-02-04', '1900-08-23', '2014-04-05']","[True, True, True]"
['2015-01-08'],[True]
"['2015-10-26', '1900-05-16', '2013-03-20']","[True, True, True]"
"['2015-12-28', '2015-05-19']","[False, True]"
['2015-12-15'],[True]
"['1900-03-31', '2015-08-21', '2014-10-17', '2014-06-27', '2014-04-28']","[True, True, True, False, True]"
['2015-11-12'],[True]
['2014-06-18'],[True]
"['2014-11-20', '2014-05-29']","[True, True]"
['1900-07-09'],[True]
['2014-12-29'],[True]
"['2015-02-13', '2014-12-26', '2014-02-04']","[True, True, True]"
"['1900-06-16', '1900-06-16']","[True, True]"
['2015-05-21'],[True]
['2013-12-06'],[True]
"['2014-05-12', '2015-08-24']","[True, False]"
['2015-01-06'],[True]
['2015-12-22'],[True]
"['2015-06-23', '2015-09-11']","[True, True]"
"['2013-04-22', '2012-05-27']","[True, True]"
['1900-01-18'],[True]
"['1900-07-30', '1900-07-28', '2015-12-05', '2015-10-04', '2015-10-03', '2015-08-13', '2015-02-22', '2015-01-14', '2013-12-14', '2013-12-01']","[True, True, True, True, True, True, True, True, True, True]"
['2012-02-11'],[True]
['1900-02-20'],[True]
['2015-03-12'],[True]
['2015-10-14'],[True]
['2013-10-27'],[True]
['2015-11-27'],[True]
"['2014-10-09', '1900-05-07', '1900-05-07', '1900-04-04', '1900-03-30', '1900-03-28', '2015-11-09']","[True, True, True, True, True, True, True]"
['2015-12-23'],[True]
"['2014-05-06', '2015-12-02', '2015-06-06', '2015-09-29', '2014-09-08', '2013-12-15']","[True, True, True, True, True, True]"
['2015-11-23'],[False]
['2014-06-01'],[True]
"['2014-07-11', '2014-11-14']","[True, True]"
"['2015-11-13', '2013-12-15']","[True, True]"
['2015-12-17'],[True]
['2014-10-26'],[True]
['1900-01-11'],[True]
['2014-06-28'],[True]
"['2015-09-12', '2015-09-13', '1900-04-20', '2015-10-14']","[False, True, True, True]"
['1900-02-26'],[True]
[],[]
"['2015-11-19', '2013-06-25']","[True, True]"
"['2014-04-11', '2014-02-22', '2012-09-24']","[True, True, True]"
['2015-09-26'],[True]
"['2015-06-12', '2015-08-03', '2015-06-26']","[True, True, True]"
['2014-01-15'],[True]
['2014-10-14'],[True]
"['1900-08-31', '2014-07-09', '2014-03-13']","[True, True, True]"
"['2014-11-11', '2015-07-21', '2015-07-05', '2015-03-12', '2014-02-23']","[True, True, True, True, True]"
"['1900-03-27', '1900-01-15']","[False, True]"
"['2015-03-22', '2014-08-21', '2015-03-13']","[True, True, True]"
"['2015-03-20', '2015-03-07']","[True, True]"
